simplicial_motif_index, count
0,390685425.598958
1,478152311.927083
2,23324503.020833
3,151609269.635417
4,11662251.510417
5,126341058.029514
6,7774834.340278
7,122453640.859375
9,17493377.265625
10,119538077.981771
11,61226820.429688
12,5102235.035807
14,11014348.648727
15,647902.861690
17,49564568.919271
18,2186672.158203
19,6560016.474609
21,5345198.608941
22,39757675.603693
23,2120409.365530
24,7288907.194010
25,291556.287760
28,7653352.553711
29,2186672.158203
32,728890.719401
37,23602175.675843
38,1388363.275050
39,833017.965030
43,8873452.236187
44,1267636.033741
46,2332450.302083
47,424081.873106
48,212040.936553
49,106020.468277
52,212040.936553
66,971854.292535
67,416508.982515
72,1049602.635938
73,349867.545312
79,116622.515104
103,93298.012083
104,46649.006042
